ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,preparacao_bruta,otimo,regular,ruim,total_respostas,isc_linha
B,2026-02-24,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,1.0,0.0,0.0,1.0,10.0
P1,2026-02-24,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,13.0,0.0,0.0,13.0,10.0
B,2026-02-24,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,16.0,1.0,0.0,17.0,9.705882352941176
P1,2026-02-24,Jantar,209.0,VEG,Soja á Bolonhesa,Soja á Bolonhesa,0.0,1.0,0.0,1.0,5.0
B,2026-02-24,Jantar,209.0,VEG,Soja á Bolonhesa,Soja á Bolonhesa,0.0,0.0,1.0,1.0,1.0
P1,2026-02-25,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,8.0,5.0,0.0,13.0,8.076923076923077
B,2026-02-25,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,3.0,0.0,0.0,3.0,10.0
P1,2026-02-25,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,12.0,2.0,1.0,15.0,8.733333333333333
B,2026-02-25,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,0.0,2.0,0.0,2.0,5.0
P1,2026-02-25,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,2.0,1.0,2.0,5.0,5.4
B,2026-02-25,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,0.0,0.0,0.0,0.0,
P1,2026-02-26,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,14.0,2.0,0.0,16.0,9.375
B,2026-02-26,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,5.0,1.0,0.0,6.0,9.166666666666666
P1,2026-02-26,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,23.0,0.0,0.0,23.0,10.0
B,2026-02-26,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,10.0,0.0,0.0,10.0,10.0
P1,2026-02-26,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,2.0,0.0,0.0,2.0,10.0
B,2026-02-26,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,2.0,0.0,0.0,2.0,10.0
P1,2026-02-27,Jantar,51.0,PB,Creme de Frango,Creme de Frango,13.0,1.0,0.0,14.0,9.642857142857142
B,2026-02-27,Jantar,51.0,PB,Creme de Frango,Creme de Frango,12.0,2.0,1.0,15.0,8.733333333333333
P1,2026-02-27,Jantar,110.0,PV,Cubos Suíno Acebolado,Cubos Suíno Acebolado,3.0,2.0,0.0,5.0,8.0
B,2026-02-27,Jantar,110.0,PV,Cubos Suíno Acebolado,Cubos Suíno Acebolado,10.0,5.0,0.0,15.0,8.333333333333334
P1,2026-02-27,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,1.0,0.0,1.0,2.0,5.5
B,2026-02-27,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,1.0,2.0,3.0,6.0,3.8333333333333335
P1,2026-03-02,Jantar,86.0,PB,Sobrecoxa Desossada ao M.Ervas,Sobrecoxa Desossada ao M.Ervas,20.0,7.0,22.0,49.0,5.244897959183674
B,2026-03-02,Jantar,86.0,PB,Sobrecoxa Desossada ao M.Ervas,Sobrecoxa Desossada ao M.Ervas,27.0,8.0,0.0,35.0,8.857142857142858
P1,2026-03-02,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,42.0,5.0,2.0,49.0,9.122448979591837
B,2026-03-02,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,55.0,2.0,1.0,58.0,9.672413793103448
P1,2026-03-02,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,4.0,2.0,8.0,14.0,4.142857142857143
B,2026-03-02,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,9.0,2.0,5.0,16.0,6.5625
P1,2026-03-03,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,30.0,9.0,4.0,43.0,8.116279069767442
B,2026-03-03,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,26.0,4.0,0.0,30.0,9.333333333333334
P1,2026-03-03,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,36.0,8.0,1.0,45.0,8.911111111111111
B,2026-03-03,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,12.0,0.0,3.0,15.0,8.2
P1,2026-03-03,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,11.0,1.0,4.0,16.0,7.4375
B,2026-03-03,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,4.0,0.0,0.0,4.0,10.0
P1,2026-03-04,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,17.0,7.0,2.0,26.0,7.961538461538462
B,2026-03-04,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,105.0,15.0,3.0,123.0,9.170731707317072
P1,2026-03-04,Jantar,94.0,PV,Assado de Panela,Assado de Panela,99.0,11.0,2.0,112.0,9.348214285714286
B,2026-03-04,Jantar,94.0,PV,Assado de Panela,Assado de Panela,98.0,20.0,13.0,131.0,8.34351145038168
P1,2026-03-04,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,19.0,12.0,5.0,36.0,7.083333333333333
B,2026-03-04,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,88.0,18.0,1.0,107.0,9.074766355140186
P1,2026-03-05,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,91.0,5.0,0.0,96.0,9.739583333333334
B,2026-03-05,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,88.0,15.0,5.0,108.0,8.88888888888889
P1,2026-03-05,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,62.0,5.0,0.0,67.0,9.626865671641792
B,2026-03-05,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,57.0,12.0,10.0,79.0,8.10126582278481
P1,2026-03-05,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,5.0,3.0,6.0,14.0,5.071428571428571
B,2026-03-05,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,15.0,18.0,17.0,50.0,5.14
P1,2026-03-06,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,20.0,4.0,0.0,24.0,9.166666666666666
B,2026-03-06,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,18.0,5.0,1.0,24.0,8.583333333333334
P1,2026-03-06,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,66.0,12.0,6.0,84.0,8.642857142857142
B,2026-03-06,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,79.0,10.0,10.0,99.0,8.585858585858587
P1,2026-03-06,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,4.0,1.0,3.0,8.0,6.0
B,2026-03-06,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,14.0,2.0,1.0,17.0,8.882352941176471
P1,2026-03-09,Jantar,69.0,PB,Isca de Frango ao M. Ervas,Isca de Frango ao M. Ervas,56.0,13.0,47.0,116.0,5.793103448275862
B,2026-03-09,Jantar,69.0,PB,Isca de Frango ao M. Ervas,Isca de Frango ao M. Ervas,45.0,23.0,25.0,93.0,6.344086021505376
P1,2026-03-09,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,66.0,10.0,5.0,81.0,8.82716049382716
B,2026-03-09,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,38.0,16.0,33.0,87.0,5.666666666666667
P1,2026-03-09,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,6.0,7.0,12.0,25.0,4.28
B,2026-03-09,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,15.0,21.0,10.0,46.0,5.760869565217392
P1,2026-03-10,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,42.0,12.0,20.0,74.0,6.756756756756757
B,2026-03-10,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,32.0,8.0,8.0,48.0,7.666666666666667
P1,2026-03-10,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,126.0,8.0,3.0,137.0,9.510948905109489
B,2026-03-10,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,86.0,7.0,2.0,95.0,9.442105263157895
P1,2026-03-10,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,7.0,5.0,13.0,25.0,4.32
B,2026-03-10,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,16.0,3.0,16.0,35.0,5.457142857142857
P1,2026-03-11,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,40.0,10.0,1.0,51.0,8.843137254901961
B,2026-03-11,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,32.0,13.0,2.0,47.0,8.23404255319149
P1,2026-03-11,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,71.0,8.0,3.0,82.0,9.182926829268293
B,2026-03-11,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,59.0,7.0,3.0,69.0,9.101449275362318
P1,2026-03-11,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,35.0,7.0,2.0,44.0,8.795454545454545
B,2026-03-11,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,25.0,2.0,6.0,33.0,8.06060606060606
P1,2026-03-12,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,100.0,9.0,1.0,110.0,9.50909090909091
B,2026-03-12,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,38.0,6.0,3.0,47.0,8.787234042553191
P1,2026-03-12,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,62.0,12.0,18.0,92.0,7.586956521739131
B,2026-03-12,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,50.0,16.0,4.0,70.0,8.342857142857143
P1,2026-03-12,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,21.0,2.0,13.0,36.0,6.472222222222222
B,2026-03-12,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,9.0,4.0,0.0,13.0,8.461538461538462
P1,2026-03-13,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,35.0,5.0,3.0,43.0,8.790697674418604
B,2026-03-13,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,98.0,24.0,5.0,127.0,8.700787401574804
P1,2026-03-13,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,46.0,16.0,113.0,175.0,3.7314285714285713
B,2026-03-13,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,102.0,38.0,24.0,164.0,7.524390243902439
P1,2026-03-13,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,13.0,2.0,3.0,18.0,7.944444444444445
B,2026-03-13,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,22.0,4.0,34.0,60.0,4.566666666666666
P1,2026-03-16,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,52.0,13.0,9.0,74.0,8.027027027027026
B,2026-03-16,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,28.0,15.0,7.0,50.0,7.24
P1,2026-03-16,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,53.0,14.0,7.0,74.0,8.202702702702704
B,2026-03-16,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,57.0,19.0,14.0,90.0,7.544444444444444
P1,2026-03-16,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,16.0,4.0,8.0,28.0,6.714285714285714
B,2026-03-16,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,17.0,6.0,3.0,26.0,7.8076923076923075
P1,2026-03-17,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,29.0,16.0,6.0,51.0,7.372549019607843
B,2026-03-17,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,37.0,11.0,3.0,51.0,8.392156862745098
P1,2026-03-17,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,126.0,21.0,7.0,154.0,8.909090909090908
B,2026-03-17,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,63.0,9.0,5.0,77.0,8.831168831168831
P1,2026-03-17,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,12.0,3.0,3.0,18.0,7.666666666666667
B,2026-03-17,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,27.0,3.0,29.0,59.0,5.322033898305085
P1,2026-03-18,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,53.0,8.0,4.0,65.0,8.830769230769231
B,2026-03-18,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,38.0,4.0,1.0,43.0,9.325581395348838
P1,2026-03-18,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,61.0,18.0,7.0,86.0,8.220930232558139
B,2026-03-18,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,45.0,7.0,2.0,54.0,9.018518518518519
P1,2026-03-18,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,8.0,1.0,14.0,23.0,4.304347826086956
B,2026-03-18,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,11.0,0.0,2.0,13.0,8.615384615384615
P1,2026-03-23,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,62.0,7.0,3.0,72.0,9.13888888888889
B,2026-03-23,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,45.0,16.0,5.0,66.0,8.106060606060606
P1,2026-03-23,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,56.0,13.0,4.0,73.0,8.616438356164384
B,2026-03-23,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,47.0,10.0,5.0,62.0,8.46774193548387
P1,2026-03-23,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,35.0,4.0,0.0,39.0,9.487179487179487
B,2026-03-23,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,38.0,7.0,0.0,45.0,9.222222222222221
P1,2026-03-24,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,67.0,11.0,7.0,85.0,8.611764705882353
B,2026-03-24,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,67.0,9.0,3.0,79.0,9.08860759493671
P1,2026-03-24,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,102.0,22.0,8.0,132.0,8.621212121212121
B,2026-03-24,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,83.0,26.0,3.0,112.0,8.598214285714286
P1,2026-03-24,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,15.0,0.0,6.0,21.0,7.428571428571429
B,2026-03-24,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,20.0,14.0,5.0,39.0,7.051282051282051
P1,2026-03-26,Jantar,51.0,PB,Creme de Frango,Creme de Frango,78.0,6.0,12.0,96.0,8.5625
B,2026-03-26,Jantar,51.0,PB,Creme de Frango,Creme de Frango,86.0,15.0,2.0,103.0,9.097087378640778
P1,2026-03-26,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,106.0,13.0,5.0,124.0,9.112903225806452
B,2026-03-26,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,96.0,8.0,2.0,106.0,9.452830188679245
P1,2026-03-26,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,16.0,11.0,3.0,30.0,7.266666666666667
B,2026-03-26,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,16.0,8.0,26.0,50.0,4.52
P1,2026-03-27,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,57.0,13.0,19.0,89.0,7.348314606741573
B,2026-03-27,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,41.0,15.0,11.0,67.0,7.402985074626866
P1,2026-03-27,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,39.0,12.0,1.0,52.0,8.673076923076923
B,2026-03-27,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,50.0,10.0,2.0,62.0,8.903225806451612
P1,2026-03-27,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,20.0,0.0,4.0,24.0,8.5
B,2026-03-27,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,20.0,2.0,22.0,44.0,5.2727272727272725
P1,2026-03-30,Jantar,80.0,PB,Sobrecoxa  ao M.Ervas,Sobrecoxa  ao M.Ervas,29.0,17.0,78.0,124.0,3.653225806451613
B,2026-03-30,Jantar,80.0,PB,Sobrecoxa  ao M.Ervas,Sobrecoxa  ao M.Ervas,30.0,18.0,15.0,63.0,6.428571428571429
P1,2026-03-30,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,69.0,80.0,7.0,156.0,7.032051282051282
B,2026-03-30,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,73.0,10.0,3.0,86.0,9.104651162790697
P1,2026-03-30,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,16.0,0.0,10.0,26.0,6.538461538461538
B,2026-03-30,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,18.0,5.0,4.0,27.0,7.7407407407407405
P1,2026-03-31,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,41.0,26.0,23.0,90.0,6.2555555555555555
B,2026-03-31,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,33.0,13.0,5.0,51.0,7.8431372549019605
P1,2026-03-31,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,82.0,15.0,3.0,100.0,8.98
B,2026-03-31,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,61.0,5.0,2.0,68.0,9.367647058823529
P1,2026-03-31,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,10.0,0.0,32.0,42.0,3.142857142857143
B,2026-03-31,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,11.0,2.0,3.0,16.0,7.6875
P1,2026-04-01,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,25.0,7.0,0.0,32.0,8.90625
B,2026-04-01,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,30.0,6.0,1.0,37.0,8.945945945945946
P1,2026-04-01,Jantar,94.0,PV,Assado de Panela,Assado de Panela,61.0,10.0,1.0,72.0,9.180555555555555
B,2026-04-01,Jantar,94.0,PV,Assado de Panela,Assado de Panela,60.0,11.0,5.0,76.0,8.68421052631579
P1,2026-04-01,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,19.0,13.0,7.0,39.0,6.717948717948718
B,2026-04-01,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,33.0,22.0,2.0,57.0,7.754385964912281
P1,2026-04-06,Jantar,69.0,PB,Isca de Frango ao M. Ervas,Isca de Frango ao M. Ervas,93.0,66.0,7.0,166.0,7.632530120481928
B,2026-04-06,Jantar,69.0,PB,Isca de Frango ao M. Ervas,Isca de Frango ao M. Ervas,55.0,9.0,0.0,64.0,9.296875
P1,2026-04-06,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,89.0,21.0,4.0,114.0,8.763157894736842
B,2026-04-06,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,35.0,7.0,4.0,46.0,8.456521739130435
P1,2026-04-06,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,10.0,8.0,11.0,29.0,5.206896551724138
B,2026-04-06,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,7.0,2.0,11.0,20.0,4.55
P1,2026-04-07,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,50.0,11.0,12.0,73.0,7.767123287671233
B,2026-04-07,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,32.0,7.0,2.0,41.0,8.707317073170731
P1,2026-04-07,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,75.0,18.0,6.0,99.0,8.545454545454545
B,2026-04-07,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,76.0,18.0,4.0,98.0,8.714285714285714
P1,2026-04-07,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,13.0,9.0,3.0,25.0,7.12
B,2026-04-07,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,25.0,4.0,1.0,30.0,9.033333333333333
P1,2026-04-08,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,53.0,16.0,7.0,76.0,8.118421052631579
B,2026-04-08,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,10.0,3.0,0.0,13.0,8.846153846153847
P1,2026-04-08,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,57.0,10.0,3.0,70.0,8.9
B,2026-04-08,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,13.0,5.0,0.0,18.0,8.61111111111111
P1,2026-04-08,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,117.0,15.0,6.0,138.0,9.065217391304348
B,2026-04-08,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,6.0,1.0,0.0,7.0,9.285714285714286
P1,2026-04-09,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,73.0,8.0,4.0,85.0,9.105882352941176
B,2026-04-09,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,65.0,10.0,4.0,79.0,8.91139240506329
P1,2026-04-09,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,69.0,24.0,17.0,110.0,7.5181818181818185
B,2026-04-09,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,53.0,17.0,17.0,87.0,7.264367816091954
P1,2026-04-09,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,18.0,2.0,2.0,22.0,8.727272727272727
B,2026-04-09,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,10.0,3.0,1.0,14.0,8.285714285714286
P1,2026-04-10,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,35.0,12.0,3.0,50.0,8.26
B,2026-04-10,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,40.0,8.0,4.0,52.0,8.538461538461538
P1,2026-04-10,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,65.0,20.0,6.0,91.0,8.307692307692308
B,2026-04-10,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,51.0,13.0,5.0,69.0,8.405797101449275
P1,2026-04-10,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,15.0,1.0,2.0,18.0,8.722222222222221
B,2026-04-10,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,10.0,0.0,3.0,13.0,7.923076923076923
P1,2026-04-14,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,39.0,16.0,3.0,58.0,8.155172413793103
B,2026-04-14,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,38.0,5.0,4.0,47.0,8.702127659574469
P1,2026-04-14,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,57.0,19.0,7.0,83.0,8.096385542168674
B,2026-04-14,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,44.0,7.0,3.0,54.0,8.851851851851851
P1,2026-04-14,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,28.0,3.0,4.0,35.0,8.542857142857143
B,2026-04-14,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,10.0,2.0,1.0,13.0,8.538461538461538
P1,2026-04-15,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,35.0,8.0,3.0,46.0,8.543478260869565
B,2026-04-15,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,70.0,14.0,1.0,85.0,9.070588235294117
P1,2026-04-15,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,44.0,13.0,11.0,68.0,7.588235294117647
B,2026-04-15,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,74.0,15.0,12.0,101.0,8.188118811881187
P1,2026-04-15,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,5.0,5.0,7.0,17.0,4.823529411764706
B,2026-04-15,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,12.0,6.0,4.0,22.0,7.0
P1,2026-04-16,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,52.0,13.0,2.0,67.0,8.761194029850746
B,2026-04-16,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,55.0,11.0,5.0,71.0,8.591549295774648
P1,2026-04-16,Jantar,132.0,PV,Suíno Acebolado,Suíno Acebolado,65.0,11.0,1.0,77.0,9.168831168831169
B,2026-04-16,Jantar,132.0,PV,Suíno Acebolado,Suíno Acebolado,37.0,5.0,0.0,42.0,9.404761904761905
P1,2026-04-16,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,17.0,2.0,14.0,33.0,5.878787878787879
B,2026-04-16,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,18.0,2.0,1.0,21.0,9.095238095238095
P1,2026-04-17,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,19.0,2.0,0.0,21.0,9.523809523809524
B,2026-04-17,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,47.0,6.0,1.0,54.0,9.277777777777779
P1,2026-04-17,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,147.0,10.0,5.0,162.0,9.41358024691358
B,2026-04-17,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,81.0,4.0,0.0,85.0,9.764705882352942
P1,2026-04-17,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,10.0,0.0,,,10.0
B,2026-04-17,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,11.0,8.0,1.0,20.0,7.55
